NOM_SC;NOM_FR;COMMUNE;CODE_INSEE;DATE_OBS
Hylis olexai (Palm, 1955);;VILLE D AVRAY;92077;2003-01-01
Laemophloeus;;VILLE D AVRAY;92077;2003-01-01
Leiopus femoratus Fairmaire, 1859;;VILLE D AVRAY;92077;2003-01-01
Leptura quadrifasciata Linnaeus, 1758;;MEUDON;92048;2003-01-01
Melandrya caraboides (Linnaeus, 1760);;CHATENAY MALABRY;92019;2003-01-01
Melandrya;;CHATENAY MALABRY;92019;2003-01-01
Melanotus villosus (Fourcroy, 1785);;MEUDON;92048;2003-01-01
Melasis buprestoides (Linnaeus, 1761);;VILLE D AVRAY;92077;2003-01-01
Meligethes;;CHATENAY MALABRY;92019;2003-01-01
Mesosa nebulosa (Fabricius, 1781);;MEUDON;92048;2003-01-01
Mycetochara linearis (Illiger, 1794);;CHATENAY MALABRY;92019;2003-01-01
Notolaemus unifasciatus (Latreille, 1804);;CHATENAY MALABRY;92019;2003-01-01
Nyctalus leisleri (Kuhl, 1817);Noctule de Leisler;RUEIL MALMAISON;92063;2003-01-01
Oriolus oriolus (Linnaeus, 1758);Loriot d'Europe, Loriot jaune;CHATENAY MALABRY;92019;2003-01-01
Passer montanus (Linnaeus, 1758);Moineau friquet;ANTONY;92002;2003-01-01
